dataset_name,split,category,seq_num,domain_s1,n_s1,s1_1st,s1_tr,normalize,config_file
TSB-U-STABLE067,U,STABLE,67,Medical,5974,191200,49938,per_series,configs\tsb_auto\TSB-U-STABLE067__resnet.yaml
TSB-U-STABLE069,U,STABLE,69,WebService,220,7083,3821,global,configs\tsb_auto\TSB-U-STABLE069__resnet.yaml
TSB-U-STABLE075,U,STABLE,75,WebService,173,5596,4548,global,configs\tsb_auto\TSB-U-STABLE075__resnet.yaml
TSB-U-STABLE076,U,STABLE,76,Medical,869,27862,7487,per_series,configs\tsb_auto\TSB-U-STABLE076__resnet.yaml
TSB-U-STABLE078,U,STABLE,78,Environment,186,6006,2046,global,configs\tsb_auto\TSB-U-STABLE078__resnet.yaml
TSB-U-STABLE082,U,STABLE,82,Medical,379,12190,7464,per_series,configs\tsb_auto\TSB-U-STABLE082__resnet.yaml
TSB-U-STABLE084,U,STABLE,84,Medical,542,17390,7456,per_series,configs\tsb_auto\TSB-U-STABLE084__resnet.yaml
TSB-U-STABLE090,U,STABLE,90,Medical,174,5607,1875,per_series,configs\tsb_auto\TSB-U-STABLE090__resnet.yaml
TSB-U-STABLE091,U,STABLE,91,Sensor,166,5365,2851,global,configs\tsb_auto\TSB-U-STABLE091__resnet.yaml
TSB-U-STABLE092,U,STABLE,92,Facility,420,13484,11665,global,configs\tsb_auto\TSB-U-STABLE092__resnet.yaml
TSB-U-STABLE093,U,STABLE,93,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-STABLE093__resnet.yaml
TSB-U-STABLE094,U,STABLE,94,WebService,435,13973,4559,global,configs\tsb_auto\TSB-U-STABLE094__resnet.yaml
TSB-U-STABLE095,U,STABLE,95,Facility,1767,56600,20000,global,configs\tsb_auto\TSB-U-STABLE095__resnet.yaml
TSB-U-STABLE096,U,STABLE,96,Medical,499,16000,7500,per_series,configs\tsb_auto\TSB-U-STABLE096__resnet.yaml
TSB-U-STABLE097,U,STABLE,97,Medical,192,6200,1853,per_series,configs\tsb_auto\TSB-U-STABLE097__resnet.yaml
